Seconds,Data,value,Altitude
1436028680,Pace,3.2009727807150057,43.43
1436028690,Distance,2144.5965286360974,42.980000000000004
1436028690,Heart Rate,162.0,42.980000000000004
1436028690,Pace,4.812026972876401,42.980000000000004
1436028700,Distance,2177.791421458364,63.05899999999999
1436028700,Heart Rate,159.5,63.05899999999999
1436028700,Pace,1.810875446288128,63.05899999999999
1436028710,Distance,2197.14653710233,66.19999999999999
1436028710,Heart Rate,156.5,66.19999999999999
1436028710,Pace,1.981352034303427,66.19999999999999
1436028720,Distance,2214.4149299863802,75.02400000000002
1436028720,Heart Rate,161.0,75.02400000000002
1436028720,Pace,1.5398435137965862,75.02400000000002
1436028730,Distance,2231.7767190089253,76.33
1436028730,Heart Rate,165.0,76.33
1436028730,Pace,2.176109671274662,76.33
1436028740,Distance,2257.576789625261,71.967
1436028740,Heart Rate,168.5,71.967
1436028740,Pace,2.571191836292519,71.967
1436028750,Distance,2279.7356374094297,70.72299999999998
1436028750,Heart Rate,171.5,70.72299999999998
1436028750,Pace,2.2122848940177846,70.72299999999998
1436028760,Distance,2303.76731892129,60.47700000000001
1436028760,Heart Rate,172.5,60.47700000000001
1436028760,Pace,2.371172552422922,60.47700000000001
1436028770,Distance,2323.9716907822217,70.511
1436028770,Heart Rate,173.0,70.511
1436028770,Pace,1.7795730107406142,70.511
1436028780,Distance,2344.711575347225,62.46599999999999
1436028780,Heart Rate,172.5,62.46599999999999
1436028780,Pace,2.408453758057567,62.46599999999999
1436028790,Distance,2368.1445730216424,56.407
1436028790,Heart Rate,171.5,56.407
1436028790,Pace,2.2179968403077965,56.407
1436028800,Distance,2391.1468249366153,59.025
1436028800,Heart Rate,172.5,59.025
1436028800,Pace,2.406464862066423,59.025
1436028810,Distance,2416.036165147264,67.65200000000002
1436028810,Heart Rate,171.5,67.65200000000002
1436028810,Pace,2.5000782551067458,67.65200000000002
1436028820,Distance,2436.6113453316366,77.43299999999999
1436028820,Heart Rate,171.0,77.43299999999999
1436028820,Pace,1.990621029578324,77.43299999999999
1436028830,Distance,2461.9121634281005,79.83700000000002
1436028830,Heart Rate,171.5,79.83700000000002
1436028830,Pace,2.6222860344249055,79.83700000000002
1436028840,Distance,2484.8700974144153,86.773
1436028840,Heart Rate,170.0,86.773
1436028840,Pace,1.9929037826537297,86.773
1436028850,Distance,2501.9689510959624,93.98400000000001
1436028850,Heart Rate,170.0,93.98400000000001
1436028850,Pace,1.6146884389545904,93.98400000000001
1436028860,Distance,2520.8086061692547,91.72
1436028860,Heart Rate,171.0,91.72
1436028860,Pace,2.176606236884754,91.72
1436028870,Distance,2546.3619975479405,94.43999999999998
1436028870,Heart Rate,172.5,94.43999999999998
1436028870,Pace,2.747893475806177,94.43999999999998
1436028880,Distance,2573.78666459178,92.77899999999998
1436028880,Heart Rate,171.5,92.77899999999998
1436028880,Pace,2.7465031132895548,92.77899999999998
1436028890,Distance,2602.377393997659,93.58600000000001
1436028890,Heart Rate,171.0,93.58600000000001
1436028890,Pace,2.9371049591927205,93.58600000000001
1436028900,Distance,2632.301636363228,94.022
1436028900,Heart Rate,168.5,94.022
1436028900,Pace,3.1989701598947704,94.022
1436028910,Distance,2662.199482207002,92.79899999999999
1436028910,Heart Rate,165.0,92.79899999999999
1436028910,Pace,2.736390636957458,92.79899999999999
1436028920,Distance,2690.292655929191,93.749
1436028920,Heart Rate,165.0,93.749
1436028920,Pace,3.0204268642583885,93.749
1436028930,Distance,2722.877135971036,93.52700000000002
1436028930,Heart Rate,164.0,93.52700000000002
1436028930,Pace,3.280391337863557,93.52700000000002
1436028940,Distance,2755.8074922522987,91.56
1436028940,Heart Rate,164.0,91.56
1436028940,Pace,3.278980561685512,91.56
1436028950,Distance,2789.531771329894,91.58200000000001
1436028950,Heart Rate,163.5,91.58200000000001
1436028950,Pace,3.3329264910201344,91.58200000000001
1436028960,Distance,2820.362729472962,90.91400000000002
1436028960,Heart Rate,162.5,90.91400000000002
1436028960,Pace,2.9255925797401234,90.91400000000002
1436028970,Distance,2851.7516622649055,90.671
1436028970,Heart Rate,161.5,90.671
1436028970,Pace,3.388519502602139,90.671
1436028980,Distance,2884.6382753582975,89.92499999999998
1436028980,Heart Rate,160.5,89.92499999999998
1436028980,Pace,3.2301517186145245,89.92499999999998
1436028990,Distance,2915.6849364841246,89.374
1436028990,Heart Rate,160.0,89.374
1436028990,Pace,3.0913620378070847,89.374
1436029000,Distance,2947.8813771619675,88.85600000000001
1436029000,Heart Rate,160.0,88.85600000000001
1436029000,Pace,3.253996244395921,88.85600000000001
1436029010,Distance,2980.305555765564,87.92699999999999
1436029010,Heart Rate,159.5,87.92699999999999
1436029010,Pace,3.230803713824071,87.92699999999999
1436029020,Distance,3013.2291447920834,86.93799999999999
1436029020,Heart Rate,158.0,86.93799999999999
1436029020,Pace,3.1051001497907236,86.93799999999999
1436029030,Distance,3046.107051141532,85.82399999999998
1436029030,Heart Rate,158.0,85.82399999999998
1436029030,Pace,3.443880760502907,85.82399999999998
1436029040,Distance,3076.599416705399,84.06299999999999
1436029040,Heart Rate,159.0,84.06299999999999
1436029040,Pace,2.819277709906191,84.06299999999999
1436029050,Distance,3108.94390617442,82.981
1436029050,Heart Rate,159.0,82.981
1436029050,Pace,3.5545925653096218,82.981
1436029060,Distance,3144.2143884297375,81.316
1436029060,Heart Rate,159.5,81.316
1436029060,Pace,3.4300936150960752,81.316
1436029070,Distance,3177.661644638494,79.27399999999999
1436029070,Heart Rate,160.0,79.27399999999999
1436029070,Pace,3.192223872313207,79.27399999999999
1436029080,Distance,3209.2018970040203,78.44300000000001
1436029080,Heart Rate,159.5,78.44300000000001
1436029080,Pace,3.2088702090185506,78.44300000000001
1436029090,Distance,3242.0796874089474,77.385
1436029090,Heart Rate,158.0,77.385
1436029090,Pace,3.3705332750272645,77.385
1436029100,Distance,3276.1759543345615,76.04999999999998
1436029100,Heart Rate,158.5,76.04999999999998
1436029100,Pace,3.2890356413643986,76.04999999999998
1436029110,Distance,3308.3668769094975,74.613
1436029110,Heart Rate,159.5,74.613
1436029110,Pace,3.2142142233487903,74.613
1436029120,Distance,3340.1775763803357,73.912
1436029120,Heart Rate,160.5,73.912
1436029120,Pace,3.2033896597439253,73.912
1436029130,Distance,3370.2447072635464,72.997
1436029130,Heart Rate,161.5,72.997
1436029130,Pace,2.846837838332567,72.997
1436029140,Distance,3401.4787905973303,71.797
1436029140,Heart Rate,162.5,71.797
1436029140,Pace,3.2445688886456083,71.797
1436029150,Distance,3432.0603428328977,70.60900000000001
1436029150,Heart Rate,161.0,70.60900000000001
1436029150,Pace,3.0772197321662134,70.60900000000001
1436029160,Distance,3461.709764483644,69.921
1436029160,Heart Rate,162.0,69.921
1436029160,Pace,2.886915160453964,69.921
1436029170,Distance,3492.7104553269332,69.51700000000001
1436029170,Heart Rate,162.5,69.51700000000001
1436029170,Pace,3.0104731798396642,69.51700000000001
1436029180,Distance,3522.189536851164,68.998
1436029180,Heart Rate,163.5,68.998
1436029180,Pace,3.128144242495273,68.998
1436029190,Distance,3553.3667595661923,68.51200000000001
1436029190,Heart Rate,163.5,68.51200000000001
1436029190,Pace,3.1303762062534135,68.51200000000001
1436029200,Distance,3583.43960030655,68.256
1436029200,Heart Rate,163.0,68.256
1436029200,Pace,2.8185994609161753,68.256
1436029210,Distance,3613.319460471579,67.171
1436029210,Heart Rate,163.0,67.171
1436029210,Pace,3.237277924764476,67.171
1436029220,Distance,3646.987801052641,65.643
1436029220,Heart Rate,162.5,65.643
1436029220,Pace,3.321226643414184,65.643
1436029230,Distance,3682.7232927114587,65.498
1436029230,Heart Rate,162.0,65.498
1436029230,Pace,3.5682994898333162,65.498
1436029240,Distance,3714.649357942876,65.11500000000001
1436029240,Heart Rate,161.5,65.11500000000001
1436029240,Pace,3.371808354204404,65.11500000000001
1436029250,Distance,3750.252108431391,64.50799999999998
1436029250,Heart Rate,161.5,64.50799999999998
1436029250,Pace,3.2747685173965237,64.50799999999998
1436029260,Distance,3777.95240975642,63.66600000000001
1436029260,Heart Rate,162.0,63.66600000000001
1436029260,Pace,2.38260109592361,63.66600000000001
1436029270,Distance,3804.1642822172785,61.888
1436029270,Heart Rate,163.5,61.888
1436029270,Pace,3.0701429798057687,61.888
1436029280,Distance,3835.4696490891415,62.16700000000001
1436029280,Heart Rate,166.0,62.16700000000001
1436029280,Pace,2.884513608467432,62.16700000000001
1436029290,Distance,3862.3601846181905,61.93000000000001
1436029290,Heart Rate,167.0,61.93000000000001
1436029290,Pace,2.633883514091849,61.93000000000001
1436029300,Distance,3890.29517305459,61.022000000000006
1436029300,Heart Rate,166.5,61.022000000000006
1436029300,Pace,3.070883642417402,61.022000000000006
1436029310,Distance,3916.3989354392434,58.01125
1436029310,Heart Rate,163.5,58.01125
1436029310,Pace,2.6813571068610713,58.01125
1436029330,Distance,3934.884003021531,58.873333333333335
1436029330,Heart Rate,164.0,58.873333333333335
1436029330,Pace,3.1027590276861097,58.873333333333335
1436029340,Distance,3955.055625052947,58.132000000000005
1436029340,Heart Rate,166.5,58.132000000000005
1436029340,Pace,3.0820279111179842,58.132000000000005
1436029350,Distance,3986.002941187544,57.201
1436029350,Heart Rate,164.0,57.201
1436029350,Pace,3.0036298695062214,57.201
1436029360,Distance,4019.290789292343,55.461
1436029360,Heart Rate,161.5,55.461
1436029360,Pace,3.293774219101624,55.461
1436029370,Distance,4051.457745903465,54.455999999999996
1436029370,Heart Rate,161.0,54.455999999999996
1436029370,Pace,3.3004666754395204,54.455999999999996
1436029380,Distance,4084.9251326430776,52.64
1436029380,Heart Rate,161.5,52.64
1436029380,Pace,3.2701017524439067,52.64
1436029390,Distance,4117.676671433767,49.92800000000001
1436029390,Heart Rate,161.0,49.92800000000001
1436029390,Pace,3.226736600131153,49.92800000000001
1436029400,Distance,4151.614255703721,46.95400000000001
1436029400,Heart Rate,160.0,46.95400000000001
1436029400,Pace,3.529825272627568,46.95400000000001
1436029410,Distance,4185.443442032708,44.20900000000001
1436029410,Heart Rate,159.0,44.20900000000001
1436029410,Pace,3.269361084587126,44.20900000000001
1436029420,Distance,4218.933371142181,40.545
1436029420,Heart Rate,158.5,40.545
1436029420,Pace,3.405884354786667,40.545
1436029430,Distance,4251.319565435588,38.452000000000005
1436029430,Heart Rate,158.0,38.452000000000005
1436029430,Pace,3.1774292582080306,38.452000000000005
1436029440,Distance,4280.794503632455,37.754999999999995
1436029440,Heart Rate,158.0,37.754999999999995
1436029440,Pace,2.8969487617169762,37.754999999999995
1436029450,Distance,4314.497959410636,37.538
1436029450,Heart Rate,157.5,37.538
1436029450,Pace,3.489855301244006,37.538
1436029460,Distance,4346.747695394723,35.104
1436029460,Heart Rate,158.0,35.104
1436029460,Pace,3.210738899388616,35.104
1436029470,Distance,4380.345156795557,33.799
1436029470,Heart Rate,159.0,33.799
1436029470,Pace,3.3301576861231297,33.799
1436029480,Distance,4413.881345193545,32.263
1436029480,Heart Rate,160.0,32.263
1436029480,Pace,3.498481424982219,32.263
1436029490,Distance,4448.67014838568,30.766
1436029490,Heart Rate,161.5,30.766
1436029490,Pace,3.439066104698577,30.766
1436029500,Distance,4481.997250678132,28.826999999999998
1436029500,Heart Rate,163.5,28.826999999999998
1436029500,Pace,3.1780658495122225,28.826999999999998
1436029510,Distance,4513.800351095327,28.32
1436029510,Heart Rate,164.5,28.32
1436029510,Pace,3.1284264381863975,28.32
1436029520,Distance,4546.684301078907,27.994
1436029520,Heart Rate,166.0,27.994
1436029520,Pace,3.454765115480586,27.994
1436029530,Distance,4580.134135351036,27.822999999999997
1436029530,Heart Rate,167.5,27.822999999999997
1436029530,Pace,3.187109071933264,27.822999999999997
1436029540,Distance,4609.862577458028,26.860999999999997
1436029540,Heart Rate,168.0,26.860999999999997
1436029540,Pace,2.8476005622906087,26.860999999999997
1436029550,Distance,4639.827107180042,26.05
1436029550,Heart Rate,168.5,26.05
1436029550,Pace,3.083615778272633,26.05
1436029560,Distance,4669.030592870943,25.564000000000004
1436029560,Heart Rate,170.0,25.564000000000004
1436029560,Pace,2.8746153047274676,25.564000000000004
1436029570,Distance,4698.249787424352,25.269000000000002
1436029570,Heart Rate,170.5,25.269000000000002
1436029570,Pace,3.0468515725192447,25.269000000000002
1436029580,Distance,4728.674713630926,24.854
1436029580,Heart Rate,170.5,24.854
1436029580,Pace,2.903029157417495,24.854
1436029590,Distance,4759.18430689012,24.998
1436029590,Heart Rate,169.5,24.998
1436029590,Pace,3.1391795403469587,24.998
1436029600,Distance,4787.761633474845,25.160000000000004
1436029600,Heart Rate,170.0,25.160000000000004
1436029600,Pace,2.836976101908294,25.160000000000004
1436029610,Distance,4815.974750164403,25.250999999999998
1436029610,Heart Rate,170.0,25.250999999999998
1436029610,Pace,2.7320189686663072,25.250999999999998
1436029620,Distance,4846.946802470669,24.604999999999997
1436029620,Heart Rate,170.0,24.604999999999997
1436029620,Pace,3.420377709695458,24.604999999999997
1436029630,Distance,4881.097728012761,24.381999999999998
1436029630,Heart Rate,170.0,24.381999999999998
1436029630,Pace,3.421730067075714,24.381999999999998
1436029640,Distance,4915.742600618316,23.684
1436029640,Heart Rate,169.5,23.684
1436029640,Pace,3.4322494901457503,23.684
1436029650,Distance,4948.384560493177,22.875
1436029650,Heart Rate,168.0,22.875
1436029650,Pace,2.998407196005428,22.875
1436029660,Distance,4977.464963256387,21.043000000000003
1436029660,Heart Rate,168.0,21.043000000000003
1436029660,Pace,2.806127635696703,21.043000000000003
1436029670,Distance,5006.19806035819,20.375999999999998
1436029670,Heart Rate,167.5,20.375999999999998
1436029670,Pace,2.9905419961432926,20.375999999999998
1436029680,Distance,5039.012390293026,19.543
1436029680,Heart Rate,167.0,19.543
1436029680,Pace,3.2882628836393453,19.543
1436029690,Distance,5072.660436509971,19.583000000000006
1436029690,Heart Rate,166.0,19.583000000000006
1436029690,Pace,3.109015524723509,19.583000000000006
1436029700,Distance,5103.74809047425,18.695999999999998
1436029700,Heart Rate,166.0,18.695999999999998
1436029700,Pace,3.3778396795038135,18.695999999999998
1436029710,Distance,5136.045130578857,17.58
1436029710,Heart Rate,166.5,17.58
1436029710,Pace,2.952342135649269,17.58
1436029720,Distance,5167.041528559353,15.798999999999998
1436029720,Heart Rate,166.5,15.798999999999998
1436029720,Pace,3.3653720672115015,15.798999999999998
1436029730,Distance,5201.074230230005,15.468
1436029730,Heart Rate,165.0,15.468
1436029730,Pace,3.420860763663131,15.468
1436029740,Distance,5235.409765401759,15.079000000000002
1436029740,Heart Rate,165.0,15.079000000000002
1436029740,Pace,3.335712593662538,15.079000000000002
1436029750,Distance,5266.186097201553,14.310999999999998
1436029750,Heart Rate,165.0,14.310999999999998
1436029750,Pace,3.328182741011369,14.310999999999998
1436029760,Distance,5301.083690756324,13.615
1436029760,Heart Rate,166.5,13.615
1436029760,Pace,3.3942051577562777,13.615
1436029770,Distance,5333.269964626021,13.482
1436029770,Heart Rate,167.0,13.482
1436029770,Pace,2.8748967649885344,13.482
1436029780,Distance,5362.090322778846,15.331999999999999
1436029780,Heart Rate,167.0,15.331999999999999
1436029780,Pace,3.1825643865362507,15.331999999999999
1436029790,Distance,5393.862565533833,17.603
1436029790,Heart Rate,169.5,17.603
1436029790,Pace,2.8653704519478196,17.603
1436029800,Distance,5418.6482460638235,19.962000000000007
1436029800,Heart Rate,172.0,19.962000000000007
1436029800,Pace,2.568849621460231,19.962000000000007
1436029810,Distance,5447.926316021428,22.060000000000002
1436029810,Heart Rate,171.5,22.060000000000002
1436029810,Pace,2.6181371635724644,22.060000000000002
1436029820,Distance,5473.647267618945,21.916000000000004
1436029820,Heart Rate,174.0,21.916000000000004
1436029820,Pace,2.8746059042482557,21.916000000000004
1436029830,Distance,5503.334464364741,20.139000000000003
1436029830,Heart Rate,174.0,20.139000000000003
1436029830,Pace,3.1915937350649073,20.139000000000003
1436029840,Distance,5538.140024639421,18.54
1436029840,Heart Rate,172.5,18.54
1436029840,Pace,3.4459817722374284,18.54
1436029850,Distance,5570.658896228337,15.541
1436029850,Heart Rate,171.0,15.541
1436029850,Pace,3.313031657891679,15.541
1436029860,Distance,5604.022704813905,12.477
1436029860,Heart Rate,170.0,12.477
1436029860,Pace,3.2888673276449483,12.477
1436029870,Distance,5636.895369160241,11.717
1436029870,Heart Rate,168.5,11.717
1436029870,Pace,3.1909501154731514,11.717
1436029880,Distance,5669.439885539467,10.659
1436029880,Heart Rate,168.0,10.659
1436029880,Pace,3.2542549655288893,10.659
1436029890,Distance,5699.272333766618,9.831
1436029890,Heart Rate,167.0,9.831
1436029890,Pace,2.781312097539103,9.831
1436029900,Distance,5726.077279265336,9.856
1436029900,Heart Rate,167.0,9.856
1436029900,Pace,2.6748795305427846,9.856
